Ta+Au @ 40A MeV from TAPS experiment at GANIL - Selected photon pairs.
TOF1[ns]TOF2[ns] E1[MeV]E2[MeV] Theta1 Theta2   Phi1    Phi2
1.377   1.403    27.11  24.11   55.03  139.23  170.57   -6.93
1.306   1.605    30.32  29.82  139.40  118.19  -21.41   -1.68
2.284   1.813    24.16  26.05  132.70  149.17  168.90   29.20
1.505   1.389    25.74  33.19  107.09   68.61    3.75    0.97
2.221   1.257    27.14  29.96  154.79  162.45 -176.56    6.62
0.871   1.764    47.62  44.13   66.02   92.83  172.21    9.30
0.834   1.385    38.73  26.63   85.27   63.05 -170.12   -5.88
1.509   1.098    23.99  31.87  148.13  108.26    4.72    8.68
2.637   1.187    22.33  22.14  146.51  153.19 -158.03  -14.69
2.257   1.421    33.24  33.42  159.52   53.43    6.54    7.60
1.127   1.490    70.80  26.29   94.36  117.74  163.06  -14.60
2.428   1.626    22.38  34.74  156.22   66.57   14.27    2.59
1.820   1.638    28.23  29.23  109.96  121.09  173.66   -0.94
1.975   1.682    33.32  43.88  104.36   69.61  176.71    1.17
1.093   1.540    42.78  27.14  150.54   66.45    0.17  -12.25
1.526   1.378    24.55  28.38  144.35  101.72   -5.37   -1.23
1.367   1.368    26.41  24.47  134.08  150.35  171.69   29.75
0.804   1.357    27.87  23.07   93.47  117.21  179.26   17.98
0.841   1.374    21.86  27.37  152.01  111.45   -9.67  -18.82
2.151   1.966    59.40  86.46   83.87   51.71  166.07   -9.63
1.028   1.290   101.25  42.42  106.10   52.37 -167.21   -9.51
1.822   1.260    23.45  77.51  143.63  111.07   10.27  -13.48
1.619   1.911    41.03  33.86  161.18   66.80 -171.45  -10.21
2.233   1.952    25.63  88.43  115.99   65.12   -6.57   -5.83
1.982   1.794    34.28  27.50   51.96  137.77  159.73  176.28
1.138   1.374   119.76  58.36   50.16   49.20  160.03   -9.95
0.898   1.425    33.97  35.60   83.92   72.09 -178.10   16.79
1.638   1.903    29.85  35.97  146.26   95.73  -32.28   15.21
2.146   1.742    54.73  26.21   63.55   73.46 -164.88   15.93
1.387   0.657    26.41  34.77  104.38  103.28  176.62    9.80
1.888   1.885    86.68  50.21   93.20   70.02  163.96   13.62
1.477   1.550    27.50  25.31  131.92  110.52  172.55    1.59
2.796   2.199    24.89  30.20  112.29  120.84 -178.81   17.77
1.826   1.548    33.27  42.33  111.49   49.46   -9.01   -7.27
1.476   1.352    30.94  63.64   58.42  165.71 -164.15   26.57
2.125   2.434    29.90  45.29  156.59   55.39  -38.65   12.14
1.398   1.140    32.29  44.81   82.61  105.44  169.87   -7.69
1.834   2.339    27.65  23.83  135.75  104.68  163.42   -7.09
2.055   1.382    50.73  26.27  142.28   62.96  178.04   17.07
1.534   1.146    34.51  57.77  108.10   98.29 -165.37   12.47
1.902   1.369    95.57  51.36  107.65   94.09 -171.98    8.04
1.833   2.100    63.45  77.17   52.61  103.54 -161.81   14.44
1.111   1.096    55.85  77.83  113.22   70.75  171.08   11.60
1.727   1.708    32.10  46.85  164.63   60.24   20.21   20.58
1.075   0.699    54.14  62.39   96.59   67.63  175.52    0.48
2.064   2.354    23.57  35.18  144.93   60.64  160.61    9.42
1.556   1.296    63.53  72.51   86.79  115.83 -179.62    7.33
1.580   1.238    29.85  38.96   61.30  118.95  163.76    7.69
1.794   1.433    31.17  26.21   65.69  142.14 -162.99    4.13
1.963   2.075    28.38  29.42  160.40   99.00   -7.70  -10.85
1.433   2.136    90.31  54.92   94.39   97.14 -170.15  -16.11
2.121   2.356    29.47  24.55  153.04  109.32   13.47   10.40
2.239   2.550    26.83  28.69  140.65   69.88    4.54   -9.89
1.546   1.397    27.09 109.81  103.45   63.52  175.21   -2.32
1.255   1.666    26.33  36.99  147.24   61.42 -174.44   -8.19
1.766   1.750    98.11  34.35   61.91  151.76 -177.18  -11.61
1.989   2.099    29.23  25.12  133.47   98.05  170.11   -8.88
2.045   1.725    36.76  34.82  159.15   61.80  -33.91  -14.19
1.969   1.396    33.16  30.16   95.04  140.09 -165.36   -5.03
1.494   2.268    32.01  46.04  119.40   61.03    0.11  -15.90
1.881   1.531    72.64  63.68  132.11   71.26  156.67   15.33
1.441   0.630    34.67  75.69   95.09  131.12 -175.44  172.10
1.323   1.755    33.42  30.74  145.65  147.87 -164.56    9.89
0.886   1.454   127.13  29.44  136.10   57.88  157.75  -20.09
1.616   2.223    76.05  70.23   87.04  144.36  166.24  -22.16
2.039   1.887    29.54  41.37   50.45   95.06  171.45  167.26
1.406   1.532    32.42  46.07   82.89   93.11  169.00   -4.30
1.699   1.958    26.64  28.04   63.01   88.09 -161.77 -172.11
1.334   0.982    35.10 132.41   90.68   59.66 -173.51   -2.52
0.826   0.911    38.09  35.63  133.94  141.81  158.47  -12.32
0.939   1.409    49.64  29.67  108.09   58.19  177.49   -7.19
1.142   1.152    28.43  31.79  138.13   64.07  179.13    6.53
1.582   1.874    43.77  21.75  147.99  165.36 -170.94   17.44
1.412   1.676    46.69  23.88   93.93  137.47  173.43 -174.98
0.565   2.317    37.02  41.46  147.52   62.19   17.78   -6.89
1.567   1.234    23.46  44.15  112.46   63.29   -2.66  -10.25
1.414   1.319    48.43  38.92   64.85   87.15 -160.01 -172.45
1.923   1.989    24.73  33.27   93.44   55.02    8.08    0.39
2.144   2.177    38.20  25.04   97.95  133.33 -173.67  170.36
1.517   1.503    37.27  29.44   58.47  140.88 -167.12   26.85
